epoch	accuracy  loss   val_accuracy  val_loss
1   0.7123    0.8220  0.8763     0.3396
2   0.8617    0.3811  0.8934     0.2824
3   0.8868    0.3145  0.9015     0.2604
4   0.8963    0.2857  0.9132     0.2356
5   0.9052    0.2649  0.9168     0.2223
6   0.9118    0.2462  0.9196     0.2146
7   0.9126    0.2412  0.9209     0.2146
8   0.9167    0.2288  0.9272     0.2001
9   0.9207    0.2226  0.9301     0.1928
10  0.9237    0.2092  0.9249     0.2029
11  0.9256    0.2063  0.9310     0.1898
12  0.9265    0.2001  0.9346     0.1771
13  0.9304    0.1929  0.9343     0.1805
14  0.9308    0.1895  0.9278     0.1954
15  0.9300    0.1916  0.9317     0.1870
16  0.9323    0.1837  0.9318     0.1817
17  0.9347    0.1807  0.9329     0.1896
18  0.9334    0.1784  0.9333     0.1786
19  0.9354    0.1765  0.9357     0.1719
20  0.9359    0.1740  0.9337     0.1820
21  0.9374    0.1670  0.9349     0.1726
22  0.9416    0.1631  0.9364     0.1706
23  0.9363    0.1695  0.9301     0.1832
24  0.9412    0.1640  0.9386     0.1705
25  0.9398    0.1614  0.9370     0.1710
26  0.9402    0.1622  0.9357     0.1741
27  0.9433    0.1576  0.9399     0.1661
28  0.9436    0.1559  0.9368     0.1708
29  0.9457    0.1504  0.9382     0.1711
30  0.9431    0.1529  0.9378     0.1690
31  0.9454    0.1495  0.9378     0.1745
32  0.9460    0.1499  0.9400     0.1696
33  0.9474    0.1459  0.9392     0.1640
34  0.9466    0.1443  0.9377     0.1732
35  0.9470    0.1466  0.9385     0.1663
36  0.9486    0.1397  0.9399     0.1654
37  0.9475    0.1423  0.9397     0.1684
38  0.9507    0.1371  0.9398     0.1651
39  0.9472    0.1401  0.9389     0.1682
40  0.9492    0.1369  0.9401     0.1657
41  0.9492    0.1387  0.9405     0.1685
42  0.9518    0.1362  0.9400     0.1694
43  0.9498    0.1356  0.9402     0.1707
44  0.9510    0.1331  0.9406     0.1670
45  0.9526    0.1291  0.9420     0.1627
46  0.9514    0.1305  0.9415     0.1692
47  0.9520    0.1273  0.9405     0.1711
48  0.9530    0.1260  0.9423     0.1680
49  0.9501    0.1315  0.9398     0.1671
50  0.9520    0.1303  0.9392     0.1699
