epoch accuracy  loss     val_acc	 val_loss
1     0.1800    2.2893   0.2265      2.0070
2     0.3238    1.8186   0.4438      1.4468
3     0.4771    1.3748   0.5692      1.2199
4     0.5840    1.1697   0.6103      1.0703
5     0.6276    1.0323   0.6360      0.9750
6     0.6517    0.9381   0.6553      0.9118
7     0.6649    0.8886   0.6701      0.8672
8     0.6828    0.8384   0.6862      0.8329
9     0.7011    0.8029   0.6973      0.8059
10    0.7113    0.7812   0.7076      0.7831
11    0.7194    0.7609   0.7149      0.7632
12    0.7247    0.7423   0.7241      0.7467
13    0.7334    0.7263   0.7312      0.7315
14    0.7396    0.7116   0.7381      0.7183
15    0.7461    0.6961   0.7400      0.7070
16    0.7492    0.6906   0.7466      0.6959
17    0.7568    0.6753   0.7502      0.6858
18    0.7575    0.6651   0.7529      0.6772
19    0.7632    0.6494   0.7569      0.6688
20    0.7658    0.6504   0.7593      0.6611
21    0.7731    0.6308   0.7602      0.6542
22    0.7708    0.6298   0.7653      0.6476
23    0.7692    0.6339   0.7671      0.6416
24    0.7753    0.6219   0.7681      0.6361
25    0.7798    0.6135   0.7692      0.6310
26    0.7810    0.6118   0.7703      0.6261
27    0.7830    0.6014   0.7726      0.6216
28    0.7835    0.6012   0.7737      0.6173
29    0.7874    0.5940   0.7766      0.6135
30    0.7878    0.5897   0.7788      0.6096
31    0.7926    0.5812   0.7803      0.6060
32    0.7925    0.5815   0.7820      0.6028
33    0.7921    0.5838   0.7841      0.5995
34    0.7959    0.5734   0.7854      0.5964
35    0.7926    0.5777   0.7867      0.5935
36    0.7984    0.5704   0.7873      0.5910
37    0.7971    0.5689   0.7885      0.5882
38    0.7998    0.5604   0.7897      0.5857
39    0.7994    0.5655   0.7907      0.5836
40    0.8018    0.5612   0.7917      0.5811
41    0.8008    0.5586   0.7944      0.5787
42    0.8052    0.5497   0.7942      0.5767
43    0.8044    0.5510   0.7954      0.5747
44    0.8057    0.5523   0.7965      0.5727
45    0.8093    0.5423   0.7983      0.5707
46    0.8060    0.5483   0.7988      0.5688
47    0.8097    0.5442   0.7989      0.5669
48    0.8079    0.5471   0.8001      0.5653
49    0.8086    0.5450   0.8011      0.5637
50    0.8108    0.5435   0.8010      0.5620
51    0.8139    0.5355   0.8016      0.5604
