epoch	accuracy  loss      val_accuracy  val_loss
1       0.7874    0.6221    0.8532      0.4200
2       0.8638    0.3811    0.8638      0.3807
3       0.8790    0.3383    0.8655      0.3760
4       0.8837    0.3186    0.8769      0.3532
5       0.8947    0.2871    0.8743      0.3502
6       0.8993    0.2759    0.8831      0.3383
7       0.9023    0.2642    0.8806      0.3365
8       0.9087    0.2498    0.8857      0.3304
9       0.9117    0.2368    0.8767      0.3616
10      0.9139    0.2313    0.8840      0.3409
11      0.9145    0.2315    0.8824      0.3475
12      0.9178    0.2234    0.8847      0.3428
13      0.9189    0.2129    0.8820      0.3483
14      0.9238    0.2041    0.8876      0.3270
15      0.9248    0.2001    0.8820      0.3560
16      0.9285    0.1910    0.8867      0.3456
17      0.9312    0.1845    0.8846      0.3610
18      0.9312    0.1833    0.8868      0.3491
19      0.9335    0.1796    0.8867      0.3572
20      0.9344    0.1732    0.8885      0.3542
21      0.9373    0.1679    0.8862      0.3651
22      0.9380    0.1676    0.8883      0.3768
23      0.9406    0.1621    0.8908      0.3677
24      0.9388    0.1592    0.8848      0.3826
25      0.9428    0.1557    0.8832      0.3880
26      0.9429    0.1530    0.8875      0.3852
27      0.9452    0.1478    0.8899      0.3850
28      0.9463    0.1440    0.8867      0.3965
29      0.9468    0.1432    0.8893      0.3832
30      0.9479    0.1394    0.8895      0.4074
31      0.9490    0.1352    0.8906      0.3864
32      0.9501    0.1367    0.8879      0.4200
33      0.9502    0.1312    0.8844      0.4318
34      0.9533    0.1258    0.8863      0.4229
35      0.9549    0.1232    0.8940      0.4250
36      0.9565    0.1170    0.8880      0.4371
37      0.9556    0.1196    0.8874      0.4362
38      0.9575    0.1143    0.8889      0.4479
39      0.9588    0.1116    0.8903      0.4500
40      0.9581    0.1107    0.8878      0.4583
41      0.9614    0.1046    0.8846      0.4765
42      0.9576    0.1080    0.8904      0.4480
43      0.9612    0.1058    0.8867      0.4610
44      0.9604    0.1056    0.8863      0.4655
45      0.9626    0.0999    0.8896      0.4815
46      0.9622    0.1002    0.8807      0.5328
47      0.9620    0.1026    0.8863      0.4830
48      0.9636    0.0968    0.8883      0.4750
49      0.9638    0.0967    0.8853      0.5121
50      0.9629    0.0970    0.8820      0.5324
51      0.9647    0.0925    0.8879      0.5154
52      0.9653    0.0919    0.8873      0.5342
53      0.9661    0.0879    0.8884      0.5200
54      0.9646    0.0916    0.8905      0.5266
55      0.9689    0.0854    0.8870      0.5271
56      0.9680    0.0866    0.8854      0.5401
57      0.9686    0.0826    0.8862      0.5471
58      0.9685    0.0839    0.8856      0.5902
59      0.9694    0.0826    0.8894      0.5357
60      0.9700    0.0805    0.8839      0.5897
