epoch	   accuracy  loss       val_accuracy      val_loss
1          0.7601    0.7156     0.8373            0.4640
2          0.8546    0.4226     0.8442            0.4389
3          0.8636    0.3850     0.8525            0.4215
4          0.8758    0.3593     0.8619            0.3955
5          0.8809    0.3398     0.8624            0.3874
6          0.8801    0.3298     0.8562            0.3916
7          0.8889    0.3139     0.8725            0.3598
8          0.8900    0.3046     0.8694            0.3657
9          0.8948    0.2900     0.8769            0.3495
10         0.8982    0.2869     0.8777            0.3401
11         0.8977    0.2792     0.8789            0.3359
12         0.9011    0.2733     0.8786            0.3378
13         0.9023    0.2681     0.8793            0.3406
14         0.9057    0.2617     0.8811            0.3330
15         0.9096    0.2546     0.8823            0.3276
16         0.9106    0.2473     0.8855            0.3286
17         0.9122    0.2416     0.8803            0.3377
18         0.9139    0.2374     0.8837            0.3246
19         0.9153    0.2304     0.8815            0.3336
20         0.9200    0.2268     0.8850            0.3266
21         0.9194    0.2236     0.8799            0.3352
22         0.9208    0.2237     0.8878            0.3236
23         0.9225    0.2151     0.8870            0.3194
24         0.9248    0.2110     0.8878            0.3203
25         0.9260    0.2069     0.8850            0.3201
26         0.9260    0.2057     0.8887            0.3191
27         0.9275    0.2055     0.8903            0.3206
28         0.9296    0.1960     0.8881            0.3245
29         0.9312    0.1933     0.8899            0.3252
30         0.9313    0.1920     0.8919            0.3239
31         0.9328    0.1908     0.8919            0.3153
32         0.9338    0.1863     0.8909            0.3192
33         0.9344    0.1857     0.8902            0.3221
34         0.9374    0.1798     0.8884            0.3258
35         0.9365    0.1810     0.8887            0.3214
36         0.9377    0.1782     0.8906            0.3210
37         0.9390    0.1710     0.8886            0.3275
38         0.9401    0.1697     0.8897            0.3266
39         0.9402    0.1715     0.8941            0.3191
40         0.9435    0.1624     0.8919            0.3264
41         0.9442    0.1584     0.8920            0.3193
42         0.9446    0.1590     0.8903            0.3294
43         0.9462    0.1564     0.8913            0.3244
44         0.9465    0.1532     0.8923            0.3291
45         0.9451    0.1547     0.8913            0.3279
46         0.9464    0.1535     0.8897            0.3334
47         0.9475    0.1502     0.8887            0.3312
48         0.9496    0.1463     0.8916            0.3262
49         0.9499    0.1437     0.8925            0.3315
50         0.9510    0.1421     0.8925            0.3319
51         0.9498    0.1438     0.8891            0.3423
52         0.9518    0.1396     0.8932            0.3366
53         0.9518    0.1373     0.8929            0.3297
54         0.9531    0.1346     0.8941            0.3282
55         0.9550    0.1304     0.8904            0.3419
56         0.9551    0.1316     0.8917            0.3421
57         0.9551    0.1312     0.8904            0.3425
58         0.9565    0.1264     0.8915            0.3439
59         0.9578    0.1244     0.8925            0.3503
60         0.9553    0.1261     0.8865            0.3618
