epoch	accuracy  loss   val_accuracy  val_loss
1    0.7813       0.6333   0.8437        0.4444
2    0.8658       0.3781   0.8601        0.3888
3    0.8771       0.3402   0.8673        0.3718
4    0.8840       0.3164   0.8694        0.3673
5    0.8911       0.2933   0.8695        0.3607
6    0.8965       0.2809   0.8752        0.3476
7    0.9003       0.2671   0.8740        0.3519
8    0.9054       0.2549   0.8734        0.3468
9    0.9074       0.2475   0.8839        0.3320
10   0.9137       0.2334   0.8828        0.3311
11   0.9140       0.2309   0.8825        0.3487
12   0.9179       0.2213   0.8872        0.3306
13   0.9198       0.2135   0.8858        0.3364
14   0.9197       0.2106   0.8861        0.3441
15   0.9237       0.2029   0.8901        0.3321
16   0.9277       0.1897   0.8835        0.3554
17   0.9275       0.1936   0.8880        0.3527
18   0.9280       0.1880   0.8725        0.4127
19   0.9310       0.1829   0.8852        0.3554
20   0.9331       0.1740   0.8826        0.3616
21   0.9361       0.1689   0.8891        0.3612
22   0.9390       0.1635   0.8841        0.3821
23   0.9391       0.1616   0.8887        0.3660
24   0.9398       0.1574   0.8851        0.3673
25   0.9421       0.1551   0.8871        0.3790
26   0.9433       0.1508   0.8890        0.3947
27   0.9432       0.1488   0.8889        0.3842
28   0.9439       0.1472   0.8841        0.3944
29   0.9453       0.1457   0.8848        0.4064
30   0.9467       0.1416   0.8880        0.4136
31   0.9494       0.1332   0.8853        0.4117
32   0.9506       0.1310   0.8899        0.3883
33   0.9525       0.1272   0.8829        0.4165
34   0.9508       0.1279   0.8860        0.4250
35   0.9502       0.1292   0.8865        0.4392
36   0.9533       0.1232   0.8887        0.4373
37   0.9545       0.1213   0.8884        0.4494
38   0.9548       0.1185   0.8878        0.4334
39   0.9558       0.1148   0.8827        0.4466
40   0.9564       0.1153   0.8862        0.4567
41   0.9574       0.1112   0.8839        0.4555
42   0.9579       0.1137   0.8848        0.4481
43   0.9598       0.1068   0.8875        0.4558
44   0.9602       0.1052   0.8891        0.4643
45   0.9624       0.1009   0.8847        0.4865
46   0.9613       0.1044   0.8931        0.4605
47   0.9614       0.1022   0.8888        0.4793
48   0.9647       0.0951   0.8810        0.5140
49   0.9603       0.1007   0.8759        0.5750
50   0.9639       0.0971   0.8793        0.5422
51   0.9629       0.0964   0.8847        0.5141
52   0.9652       0.0935   0.8862        0.5207
53   0.9654       0.0916   0.8873        0.5062
54   0.9667       0.0883   0.8834        0.5435
55   0.9680       0.0864   0.8865        0.5291
56   0.9663       0.0922   0.8856        0.5260
57   0.9695       0.0812   0.8805        0.5646
58   0.9665       0.0862   0.8862        0.5726
59   0.9691       0.0837   0.8800        0.5716
60   0.9697       0.0823   0.8863        0.5514
61   0.9698       0.0814   0.8881        0.5463
62   0.9683       0.0813   0.8724        0.6157
63   0.9696       0.0808   0.8804        0.6007
64   0.9712       0.0780   0.8779        0.6117
65   0.9716       0.0756   0.8866        0.5694
66   0.9718       0.0755   0.8822        0.5874
67   0.9720       0.0759   0.8823        0.5867
68   0.9729       0.0706   0.8876        0.5848
69   0.9730       0.0714   0.8835        0.6073
70   0.9736       0.0706   0.8812        0.6253
71   0.9743       0.0695   0.8840        0.6204
72   0.9730       0.0719   0.8839        0.6342
73   0.9754       0.0670   0.8838        0.6290
74   0.9736       0.0698   0.8853        0.6305
75   0.9749       0.0688   0.8828        0.6662
76   0.9753       0.0657   0.8829        0.6417
77   0.9768       0.0618   0.8855        0.6439
78   0.9768       0.0637   0.8859        0.6508
79   0.9759       0.0635   0.8915        0.6458
80   0.9760       0.0633   0.8887        0.6167
81   0.9782       0.0573   0.8854        0.6636
82   0.9776       0.0604   0.8848        0.6523
83   0.9783       0.0590   0.8881        0.6665
84   0.9783       0.0604   0.8826        0.6981
85   0.9785       0.0563   0.8899        0.6792
86   0.9785       0.0560   0.8832        0.6851
87   0.9790       0.0579   0.8867        0.6919
88   0.9793       0.0549   0.8871        0.6831
89   0.9808       0.0532   0.8824        0.7160
90   0.9798       0.0533   0.8843        0.7365
91   0.9787       0.0577   0.8858        0.7482
92   0.9809       0.0525   0.8874        0.7005
93   0.9811       0.0524   0.8867        0.7464
94   0.9812       0.0504   0.8807        0.7960
95   0.9787       0.0546   0.8867        0.7232
96   0.9807       0.0515   0.8852        0.7645
97   0.9810       0.0496   0.8880        0.7431
98   0.9797       0.0524   0.8842        0.7478
99   0.9827       0.0478   0.8877        0.7352
100  0.9834       0.0470   0.8872       0.7454
101  0.9817       0.0476   0.8864       0.7588
102  0.9819       0.0480   0.8854       0.7553
103  0.9823       0.0469   0.8822       0.7915
104  0.9796       0.0533   0.8817       0.8185
105  0.9830       0.0482   0.8859       0.7740
106  0.9829       0.0455   0.8858       0.8115
107  0.9826       0.0462   0.8859       0.8019
108  0.9834       0.0456   0.8857       0.8008
109  0.9844       0.0422   0.8856       0.8054
110  0.9835       0.0455   0.8859       0.7931
111  0.9831       0.0454   0.8913       0.7962
112  0.9845       0.0432   0.8827       0.8392
113  0.9840       0.0444   0.8936       0.8338
114  0.9850       0.0421   0.8837       0.8459
115  0.9838       0.0455   0.8878       0.8307
116  0.9855       0.0382   0.8903       0.8251
117  0.9832       0.0430   0.8845       0.8139
118  0.9844       0.0410   0.8872       0.8481
119  0.9837       0.0432   0.8842       0.8996
120  0.9846       0.0428   0.8810       0.8699
121  0.9866       0.0388   0.8840       0.8885
122  0.9865       0.0364   0.8850       0.8903
123  0.9857       0.0378   0.8834       0.9272
124  0.9841       0.0435   0.8826       0.9234
125  0.9855       0.0393   0.8868       0.8953
126  0.9874       0.0342   0.8854       0.9157
127  0.9829       0.0465   0.8851       0.9076
128  0.9835       0.0453   0.8809       0.9145
129  0.9843       0.0403   0.8823       0.9937
130  0.9850       0.0417   0.8860       0.9295
131  0.9879       0.0334   0.8840       0.9254
132  0.9881       0.0310   0.8856       0.9500
