epoch accuracy   loss     val_acc	  val_loss
1    0.6803     1.0079    0.8070      0.5692
2    0.8196     0.5310    0.8178      0.5217
3    0.8396     0.4712    0.8302      0.4893
4    0.8478     0.4435    0.8390      0.4623
5    0.8525     0.4279    0.8401      0.4604
6    0.8531     0.4257    0.8464      0.4372
7    0.8597     0.4085    0.8463      0.4342
8    0.8649     0.3907    0.8505      0.4278
9    0.8638     0.3891    0.8474      0.4277
10   0.8697     0.3763    0.8552      0.4101
11   0.8719     0.3683    0.8572      0.4042
12   0.8754     0.3576    0.8547      0.4061
13   0.8752     0.3586    0.8593      0.3989
14   0.8762     0.3524    0.8634      0.3895
15   0.8769     0.3484    0.8565      0.4060
16   0.8801     0.3429    0.8635      0.3847
17   0.8814     0.3384    0.8643      0.3854
18   0.8823     0.3302    0.8669      0.3779
19   0.8842     0.3275    0.8664      0.3793
20   0.8869     0.3209    0.8693      0.3721
21   0.8876     0.3176    0.8555      0.3985
22   0.8884     0.3202    0.8684      0.3705
23   0.8911     0.3093    0.8710      0.3681
24   0.8924     0.3059    0.8678      0.3687
25   0.8941     0.3025    0.8732      0.3600
26   0.8941     0.2997    0.8679      0.3656
27   0.8923     0.3000    0.8718      0.3627
28   0.8947     0.2929    0.8728      0.3587
29   0.8952     0.2946    0.8714      0.3577
30   0.8968     0.2902    0.8734      0.3527
31   0.8945     0.2920    0.8736      0.3529
32   0.8995     0.2842    0.8729      0.3521
33   0.9007     0.2839    0.8744      0.3504
34   0.9009     0.2821    0.8787      0.3455
35   0.9001     0.2821    0.8742      0.3490
36   0.9053     0.2706    0.8754      0.3482
37   0.9027     0.2718    0.8766      0.3432
38   0.9051     0.2671    0.8762      0.3507
39   0.9087     0.2643    0.8743      0.3528
40   0.9059     0.2672    0.8747      0.3506
41   0.9079     0.2606    0.8762      0.3440
42   0.9074     0.2632    0.8800      0.3374
43   0.9071     0.2575    0.8789      0.3387
44   0.9099     0.2545    0.8841      0.3377
45   0.9091     0.2551    0.8778      0.3423
46   0.9149     0.2476    0.8792      0.3379
47   0.9105     0.2521    0.8821      0.3324
48   0.9122     0.2460    0.8741      0.3511
49   0.9124     0.2488    0.8791      0.3376
50   0.9163     0.2415    0.8811      0.3336
51   0.9154     0.2393    0.8783      0.3370
52   0.9140     0.2385    0.8802      0.3398
53   0.9154     0.2422    0.8844      0.3290
54   0.9172     0.2349    0.8825      0.3333
