epoch accuracy  loss  val_acc	val_loss
1      0.7800   0.6405   0.8452    0.4390
2      0.8620   0.3861   0.8504    0.4065
3      0.8753   0.3473   0.8478    0.4326
4      0.8837   0.3276   0.8695    0.3823
5      0.8889   0.3136   0.8706    0.3967
6      0.8937   0.3004   0.8708    0.3754
7      0.8955   0.2927   0.8730    0.3816
8      0.9017   0.2798   0.8758    0.3795
9      0.9015   0.2772   0.8765    0.3784
10     0.9050   0.2737   0.8756    0.3933
11     0.9079   0.2637   0.8693    0.4220
12     0.9105   0.2596   0.8797    0.4010
13     0.9152   0.2504   0.8759    0.4413
14     0.9151   0.2459   0.8770    0.4081
15     0.9183   0.2397   0.8778    0.4069
16     0.9194   0.2335   0.8748    0.4422
17     0.9170   0.2413   0.8765    0.4107
18     0.9224   0.2284   0.8732    0.4413
19     0.9213   0.2315   0.8773    0.4516
20     0.9262   0.2181   0.8740    0.4584
21     0.9239   0.2201   0.8770    0.4856
22     0.9270   0.2190   0.8829    0.4820
23     0.9283   0.2164   0.8842    0.4473
24     0.9289   0.2097   0.8788    0.4600
25     0.9313   0.2044   0.8666    0.5243
26     0.9307   0.2053   0.8842    0.4723
27     0.9321   0.1970   0.8794    0.4950
28     0.9314   0.2006   0.8785    0.5312
29     0.9353   0.1956   0.8819    0.4971
30     0.9348   0.1981   0.8818    0.5101
31     0.9361   0.1933   0.8805    0.5240
32     0.9356   0.1954   0.8795    0.5812
33     0.9357   0.1935   0.8784    0.5489
34     0.9401   0.1800   0.8814    0.5796
35     0.9384   0.1879   0.8726    0.5436
36     0.9408   0.1819   0.8801    0.5661
37     0.9422   0.1809   0.8700    0.6155
38     0.9443   0.1756   0.8762    0.5828
39     0.9431   0.1736   0.8834    0.5348
40     0.9446   0.1712   0.8737    0.6345
41     0.9438   0.1780   0.8783    0.6067
42     0.9457   0.1754   0.8820    0.6008
43     0.9473   0.1699   0.8771    0.6083
44     0.9456   0.1677   0.8771    0.6091
45     0.9461   0.1673   0.8812    0.6876
46     0.9494   0.1577   0.8754    0.6702
47     0.9469   0.1639   0.8772    0.7026
48     0.9488   0.1666   0.8771    0.7446
49     0.9482   0.1628   0.8788    0.6890
50     0.9500   0.1606   0.8736    0.6684
51     0.9497   0.1578   0.8759    0.7911
52     0.9526   0.1559   0.8736    0.7716
53     0.9520   0.1508   0.8837    0.7193
54     0.9528   0.1496   0.8823    0.7231
55     0.9534   0.1554   0.8752    0.7145
56     0.9537   0.1485   0.8775    0.7281
57     0.9523   0.1490   0.8687    0.8095
58     0.9558   0.1457   0.8809    0.7506
59     0.9570   0.1424   0.8791    0.7902
60     0.9562   0.1458   0.8848    0.7232
61     0.9554   0.1453   0.8759    0.7798
62     0.9569   0.1480   0.8775    0.8694
63     0.9570   0.1403   0.8759    0.8015
64     0.9579   0.1387   0.8795    0.8032
65     0.9581   0.1381   0.8771    0.8176
66     0.9597   0.1352   0.8814    0.7896
67     0.9594   0.1370   0.8678    0.8577
68     0.9585   0.1416   0.8767    0.8292
69     0.9584   0.1389   0.8738    0.9160
70     0.9602   0.1336   0.8760    0.9262
71     0.9601   0.1316   0.8821    0.8285
72     0.9613   0.1278   0.8828    0.8597
73     0.9607   0.1297   0.8781    0.8817
74     0.9608   0.1309   0.8745    0.8673
75     0.9627   0.1225   0.8755    0.8927
76     0.9617   0.1292   0.8770    0.9448
77     0.9619   0.1244   0.8803    0.8875
78     0.9627   0.1218   0.8762    0.9357
79     0.9626   0.1253   0.8813    0.8665
80     0.9625   0.1229   0.8801    0.9201
81     0.9656   0.1204   0.8752    0.9376
82     0.9651   0.1158   0.8821    0.8782
83     0.9660   0.1138   0.8764    0.9858
